Target;Source;Type;
2714889;3166224;directed;
1464506;3189691;directed;
985857;3199655;directed;
2700711;3272060;directed;
5090030;3272060;directed;
3272060;3275614;directed;
2725785;3322049;directed;
3325514;3348942;directed;
5993;3382184;directed;
1467884;3412856;directed;
4868633;3472830;directed;
3322049;3491576;directed;
3348942;3531894;directed;
4195147;3734802;directed;
3348942;3750596;directed;
962103;3911929;directed;
254640;3929715;directed;
1911913;4615601;directed;
3348942;4868633;directed;
120944;4998169;directed;
959681;4998169;directed;
3272060;10287794;directed;


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































