Target;Source;Type;Timestamp
8267;3662;directed;2
16084;3730;directed;2
29387;3730;directed;2
78576;3730;directed;2
286354;3730;directed;2
415315;3730;directed;2
40942;3741;directed;2
2990;3750;directed;2
11987;3750;directed;2
17759;3860;directed;2
10058;3871;directed;2
14637;3871;directed;2
57188;3871;directed;2
228648;3871;directed;2
750667;3871;directed;2
1049755;3871;directed;2
3917;3892;directed;2
7263;3876;directed;2
7736;3876;directed;2
178139;3876;directed;2
7858;3892;directed;2
48700;3892;directed;2
83588;3892;directed;2
778548;3892;directed;2
3444046;3892;directed;2
985857;3941;directed;2
8961;4153;directed;2
78576;4203;directed;2
29081;4278;directed;2
136392;4541;directed;2
425866;4541;directed;2
778548;4796;directed;2
4013299;3569;directed;2
70512;3620;directed;2
8298;3662;directed;2
168929;3662;directed;2
72544;3730;directed;2
3444046;3730;directed;2
18766;3750;directed;2
44562;3750;directed;2
651;3871;directed;2
148550;3871;directed;2
397725;3871;directed;2
916626;3871;directed;2
961700;3871;directed;2
985857;3871;directed;2
1236618;3871;directed;2
59216;3876;directed;2
65422;3892;directed;2
142585;3892;directed;2
272670;3892;directed;2
985857;3917;directed;2
1049755;4073;directed;2
244716;4096;directed;2
25429;4127;directed;2
177183;4130;directed;2
303;4153;directed;2
19640;4153;directed;2
77741;4278;directed;2
8961;4796;directed;2
177183;4796;directed;2
8814;5009;directed;2
18669;5009;directed;2
11978;4875;directed;2
11967;4896;directed;2
7736;4912;directed;2
7858;4912;directed;2
651;5009;directed;2
2990;5009;directed;2
11987;5009;directed;2
100212;5009;directed;2
16065;5091;directed;2
60188;5091;directed;2
71957;5091;directed;2
1565;5101;directed;2
4354;5101;directed;2
23402;5101;directed;2
37157;5101;directed;2
44949;5101;directed;2
93920;5101;directed;2
178174;5101;directed;2
916447;5101;directed;2
4203;5305;directed;2
177183;5305;directed;2
557373;5305;directed;2
24233;3892;directed;2
203096;3892;directed;2
1059949;3892;directed;2
74151;3917;directed;2
17873;3941;directed;2
961700;4096;directed;2
40942;4203;directed;2
9888;4541;directed;2
303;4568;directed;2
61275;4796;directed;2
37636;4896;directed;2
40942;4896;directed;2
75273;4912;directed;2
209456;5009;directed;2
18432;5091;directed;2
25655;5091;directed;2
70512;5091;directed;2
168711;5091;directed;2
1779;5101;directed;2
2990;5101;directed;2
4568;5101;directed;2
24239;5101;directed;2
96123;5101;directed;2
105379;5101;directed;2
209262;5101;directed;2
224280;5101;directed;2
3556;5132;directed;2
46314;5195;directed;2
1161;5305;directed;2
3443;5305;directed;2
47475;5305;directed;2
65260;5305;directed;2
94127;5305;directed;2
3307455;5800;directed;2
18432;5800;directed;2
8952;5823;directed;2
17759;5823;directed;2
41603;5823;directed;2
53543;5993;directed;2
60188;5993;directed;2
90120;6083;directed;2
2259;6240;directed;2
7130;6240;directed;2
15266;6240;directed;2
18556;6240;directed;2
21503;6240;directed;2
24857;6240;directed;2
32414;6240;directed;2
72102;6240;directed;2
82645;6240;directed;2
116337;6240;directed;2
124235;6240;directed;2
244716;6240;directed;2
259551;6240;directed;2
267860;6240;directed;2
557373;6240;directed;2
1236618;6240;directed;2
57695;5009;directed;2
246541;5009;directed;2
753206;5009;directed;2
2990;5091;directed;2
244716;5091;directed;2
32414;5101;directed;2
64274;5101;directed;2
267860;5101;directed;2
439;5305;directed;2
1194;5305;directed;2
2213;5305;directed;2
3871;5305;directed;2
40942;5305;directed;2
49123;5305;directed;2
193815;5305;directed;2
21370;5823;directed;2
39310;5823;directed;2
242118;5823;directed;2
704573;5823;directed;2
1432667;5823;directed;2
303;5993;directed;2
1900;5993;directed;2
397725;5993;directed;2
292256;6070;directed;2
152224;6216;directed;2
25489;6221;directed;2
439;6240;directed;2
1194;6240;directed;2
3909;6240;directed;2
9281;6240;directed;2
13532;6240;directed;2
24239;6240;directed;2
29727;6240;directed;2
33913;6240;directed;2
38694;6240;directed;2
92456;6240;directed;2
136706;6240;directed;2
148550;6240;directed;2
180986;6240;directed;2
397725;6240;directed;2
566757;6240;directed;2
778548;6240;directed;2
836391;6240;directed;2
884982;6240;directed;2
985857;6240;directed;2
1329154;6240;directed;2
32414;6258;directed;2
189239;6258;directed;2
2760043;6258;directed;2
9972;6400;directed;2
73646;6400;directed;2
94127;6400;directed;2
224280;6400;directed;2
566757;6400;directed;2
778548;6400;directed;2
177183;6408;directed;2
9930;6418;directed;2
8961;6426;directed;2
105379;6599;directed;2
40942;5823;directed;2
487850;5823;directed;2
686;5920;directed;2
24358;5993;directed;2
224280;5993;directed;2
6077888;6221;directed;2
3708;6235;directed;2
10058;6240;directed;2
29482;6240;directed;2
35719;6240;directed;2
36757;6240;directed;2
44562;6240;directed;2
53543;6240;directed;2
60188;6240;directed;2
177183;6240;directed;2
273619;6240;directed;2
304996;6240;directed;2
750667;6240;directed;2
827491;6240;directed;2
1049755;6240;directed;2
1547151;6240;directed;2
2760043;6240;directed;2
148550;6258;directed;2
168744;6258;directed;2
388963;6258;directed;2
753206;6258;directed;2
985857;6258;directed;2
24239;6288;directed;2
566757;6288;directed;2
60188;6400;directed;2
932682;6400;directed;2
224280;6408;directed;2
6400;6418;directed;2
14144;6418;directed;2
34389;6418;directed;2
1547151;6685;directed;2
26264;6938;directed;2
3871;6987;directed;2
32738;6987;directed;2
56013;7058;directed;2
18556;7125;directed;2
18749;7125;directed;2
26107;7125;directed;2
32414;7125;directed;2
36472;7125;directed;2
40942;7125;directed;2
41478;7125;directed;2
72102;7125;directed;2
163730;7125;directed;2
267860;7125;directed;2
272670;7125;directed;2
480224;7125;directed;2
36754;7129;directed;2
60188;7129;directed;2
103078;7182;directed;2
750667;7225;directed;2
3307455;7261;directed;2
1059949;7264;directed;2
67752;6258;directed;2
118961;6258;directed;2
193794;6258;directed;2
827491;6258;directed;2
778548;6396;directed;2
7736;6400;directed;2
8938;6400;directed;2
24239;6400;directed;2
96123;6400;directed;2
209262;6400;directed;2
292256;6400;directed;2
320704;6400;directed;2
1818091;6408;directed;2
15859;6418;directed;2
53543;6599;directed;2
60188;6599;directed;2
35468;6987;directed;2
40942;7086;directed;2
3626;7125;directed;2
44764;7125;directed;2
53131;7125;directed;2
65340;7125;directed;2
84218;7125;directed;2
105379;7125;directed;2
167787;7125;directed;2
168744;7125;directed;2
185003;7125;directed;2
566757;7125;directed;2
836391;7125;directed;2
985857;7125;directed;2
6070;7131;directed;2
49848;7169;directed;2
60188;7169;directed;2
36754;7170;directed;2
985857;7261;directed;2
6198895;7264;directed;2
884982;8042;directed;2
